date,name,category,type,amount,balance
2026-02-01,Uber,Food,outflow,1773,3227
2026-02-02,Electricity Bill,Transport,outflow,347,2880
2026-02-03,Zomato,Utilities,outflow,1018,1862
2026-02-04,Refund,Income,inflow,4532,6394
2026-02-05,Electricity Bill,Transport,outflow,1411,4983
2026-02-06,Flipkart,Groceries,outflow,131,4852
2026-02-07,Flipkart,Shopping,outflow,1813,3039
2026-02-08,Electricity Bill,Utilities,outflow,643,2396
2026-02-09,Salary,Income,inflow,10619,13015
2026-02-10,Zomato,Fitness,outflow,481,12534
2026-02-11,Flipkart,Utilities,outflow,1472,11062
2026-02-12,Gym,Fitness,outflow,869,10193
2026-02-13,Gym,Fitness,outflow,1815,8378
2026-02-14,Cafe,Fitness,outflow,1016,7362
2026-02-15,Salary,Income,inflow,7175,14537
2026-02-16,Cafe,Food,outflow,914,13623
2026-02-17,Cafe,Food,outflow,1005,12618
2026-02-18,Cafe,Fitness,outflow,1980,10638
2026-02-19,Uber,Food,outflow,1754,8884
2026-02-20,Amazon,Groceries,outflow,358,8526
2026-02-21,Pocket Money,Income,inflow,11838,20364
2026-02-22,UPI Received,Income,inflow,11232,31596
2026-02-23,Petrol Pump,Utilities,outflow,1885,29711
2026-02-24,Uber,Food,outflow,1066,28645
2026-02-25,Cafe,Fitness,outflow,1739,26906
2026-02-26,Freelance Payment,Income,inflow,13853,40759
2026-02-27,Refund,Income,inflow,9389,50148
2026-02-28,Flipkart,Utilities,outflow,1005,49143
2026-03-01,Electricity Bill,Groceries,outflow,1659,47484
2026-03-02,Zomato,Fitness,outflow,881,46603
2026-03-03,Cafe,Transport,outflow,1803,44800
2026-03-04,Refund,Income,inflow,14078,58878
2026-03-05,Freelance Payment,Income,inflow,11676,70554
2026-03-06,Flipkart,Fitness,outflow,529,70025
2026-03-07,Refund,Income,inflow,13762,83787
2026-03-08,Zomato,Food,outflow,1015,82772
2026-03-09,UPI Received,Income,inflow,5776,88548
2026-03-10,Flipkart,Fitness,outflow,277,88271
2026-03-11,Zomato,Groceries,outflow,555,87716
2026-03-12,Cafe,Utilities,outflow,1462,86254
2026-03-13,Cafe,Groceries,outflow,163,86091
2026-03-14,UPI Received,Income,inflow,8846,94937
2026-03-15,Electricity Bill,Groceries,outflow,759,94178
2026-03-16,Amazon,Shopping,outflow,1233,92945
2026-03-17,Swiggy,Shopping,outflow,567,92378
2026-03-18,Refund,Income,inflow,1280,93658
2026-03-19,Refund,Income,inflow,1444,95102
2026-03-20,Freelance Payment,Income,inflow,7433,102535
2026-03-21,Zomato,Fitness,outflow,213,102322
2026-03-22,Pocket Money,Income,inflow,11261,113583
2026-03-23,Kirana Store,Fitness,outflow,1538,112045
2026-03-24,Petrol Pump,Shopping,outflow,1064,110981
2026-03-25,Amazon,Utilities,outflow,609,110372
2026-03-26,Uber,Food,outflow,1242,109130
2026-03-27,Salary,Income,inflow,4528,113658
2026-03-28,Petrol Pump,Shopping,outflow,234,113424
2026-03-29,Gym,Groceries,outflow,1746,111678
2026-03-30,Petrol Pump,Food,outflow,1379,110299
2026-03-31,Uber,Food,outflow,816,109483
2026-04-01,Freelance Payment,Income,inflow,8701,118184
