date,name,category,amount,notes
2026-03-01,Swiggy Order,Food,245,Late night dinner
2026-03-01,Uber Ride,Transport,180,College to home
2026-03-02,Kirana Store,Groceries,560,Monthly essentials
2026-03-02,Chai Tapri,Food,30,Evening chai
2026-03-03,Amazon Purchase,Shopping,1299,Bluetooth speaker
2026-03-03,Bus Ticket,Transport,25,Local travel
2026-03-04,Zomato Lunch,Food,320,Burger combo
2026-03-04,Electricity Bill,Utilities,1450,Monthly bill
2026-03-05,Petrol Pump,Transport,500,Bike fuel
2026-03-05,Ice Cream,Food,120,Post dinner craving
2026-03-06,Bookstore,Education,780,DSA book
2026-03-06,Auto Ride,Transport,90,Short ride
2026-03-07,Dominos Pizza,Food,699,Weekend treat
2026-03-07,Netflix Subscription,Entertainment,199,Monthly subscription
2026-03-08,Gym Fees,Fitness,1200,Monthly gym
2026-03-08,Protein Shake,Fitness,250,Post workout
2026-03-09,Flipkart Order,Shopping,899,Headphones
2026-03-09,Street Momos,Food,80,Evening snack
2026-03-10,Water Bottle,Shopping,150,New bottle
2026-03-10,Bus Ticket,Transport,20,Daily commute
2026-03-11,Birthday Dinner,Food,1200,Celebration
2026-03-11,Cake Shop,Food,450,Birthday cake
2026-03-12,Mobile Recharge,Utilities,299,Monthly plan
2026-03-12,Uber Ride,Transport,210,Night return
2026-03-13,Coffee Cafe,Food,220,Cold coffee
2026-03-13,Stationery Shop,Education,95,Pens & notebook
2026-03-14,Amazon Prime,Entertainment,149,Subscription
2026-03-14,Street Juice,Food,60,Fresh juice
2026-03-15,Petrol Pump,Transport,400,Fuel refill
2026-03-15,Swiggy Order,Food,310,Dinner
2026-03-16,Medical Store,Health,230,Medicines
2026-03-16,Auto Ride,Transport,70,Short trip
2026-03-17,Kirana Store,Groceries,430,Vegetables
2026-03-17,Chai Tapri,Food,20,Tea break
2026-03-18,Movie Ticket,Entertainment,350,Weekend movie
2026-03-18,Popcorn,Food,200,Snacks
2026-03-19,Flipkart Order,Shopping,1599,Shoes
2026-03-19,Bus Ticket,Transport,30,Commute
2026-03-20,Zomato Dinner,Food,410,Paneer meal
2026-03-20,Electricity Bill,Utilities,1380,Monthly bill
